"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","bricksetURL","rating","reviewCount","packagingType","availability","US_retailPrice","UK_retailPrice","height","width","depth","weight","thumbnailURL","imageURL"
9652,"Mini-Wheel Model Maker No. 1 (Kraft Velveeta)",1971,"Samsonite","Vintage","Model Maker","Normal",TRUE,86,"https://brickset.com/sets/1-10",0,0,"Box","Promotional",NA,NA,5.6,14.2,10.3,NA,"https://images.brickset.com/sets/small/1-10.jpg","https://images.brickset.com/sets/images/1-10.jpg"
25549,"Mini-Wheel Model Maker No. 2 (Kraft Velveeta)",1971,"Samsonite","Vintage","Model Maker","Normal",TRUE,74,"https://brickset.com/sets/2-10",0,0,"Box","Promotional",NA,NA,5.6,14.2,10.3,NA,"https://images.brickset.com/sets/small/2-10.jpg","https://images.brickset.com/sets/images/2-10.jpg"
22724,"Mini-Wheel Model Maker No. 3 (Kraft Velveeta)",1971,"Samsonite","Vintage","Model Maker","Normal",TRUE,65,"https://brickset.com/sets/3-8",0,0,"Box","Promotional",2,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/3-8.jpg","https://images.brickset.com/sets/images/3-8.jpg"
22725,"Mini-Wheel Model Maker Set 4 (Kraft Velveeta)",1971,"Samsonite","Vintage","Model Maker","Normal",TRUE,NA,"https://brickset.com/sets/4-5",0,0,"Box","Promotional",4.75,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4-5.jpg","https://images.brickset.com/sets/images/4-5.jpg"
7699,"Large house set",1971,"Minitalia","Vintage",NA,"Normal",TRUE,307,"https://brickset.com/sets/5-4",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5-4.jpg","https://images.brickset.com/sets/images/5-4.jpg"
22726,"Mini-Wheel Model Maker Set 5 (Kraft Velveeta)",1971,"Samsonite","Vintage","Model Maker","Normal",TRUE,2,"https://brickset.com/sets/5-5",0,0,"Box","Promotional",6.75,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5-5.jpg","https://images.brickset.com/sets/images/5-5.jpg"
22727,"Promotional Basic Set No. 6 (Kraft Velveeta)",1971,"Samsonite","Vintage","Basic set","Normal",TRUE,77,"https://brickset.com/sets/6-4",0,0,"Box","Promotional",1,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6-4.jpg","https://images.brickset.com/sets/images/6-4.jpg"
22728,"Promotional Basic Set No. 7 (Kraft Velveeta)",1971,"Samsonite","Vintage","Basic Set","Normal",TRUE,159,"https://brickset.com/sets/7-5",0,0,"Box","Promotional",2,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/7-5.jpg","https://images.brickset.com/sets/images/7-5.jpg"
22729,"Promotional Basic Set No. 8 (Kraft Velveeta)",1971,"Samsonite","Vintage","Basic Set","Normal",TRUE,301,"https://brickset.com/sets/8-4",0,0,"Box","Promotional",5,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8-4.jpg","https://images.brickset.com/sets/images/8-4.jpg"
22730,"Promotional Basic Set No. 9 (Kraft Velveeta)",1971,"Samsonite","Vintage","Basic Set","Normal",TRUE,550,"https://brickset.com/sets/9-2",0,0,"Box","Promotional",8,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/9-2.jpg","https://images.brickset.com/sets/images/9-2.jpg"
22731,"Promotional Basic Set No. 10 (Kraft Velveeta)",1971,"Samsonite","Vintage","Basic Set","Normal",TRUE,101,"https://brickset.com/sets/10-3",0,0,"Box","Promotional",2,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/10-2.jpg","https://images.brickset.com/sets/images/10-2.jpg"
7707,"Truck",1971,"Minitalia","Vintage",NA,"Normal",TRUE,33,"https://brickset.com/sets/21-2",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/21-2.jpg","https://images.brickset.com/sets/images/21-2.jpg"
7708,"Car",1971,"Minitalia","Vintage",NA,"Normal",TRUE,47,"https://brickset.com/sets/22-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/22-1.jpg","https://images.brickset.com/sets/images/22-1.jpg"
7709,"Delivery truck",1971,"Minitalia","Vintage",NA,"Normal",TRUE,64,"https://brickset.com/sets/23-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/23-1.jpg","https://images.brickset.com/sets/images/23-1.jpg"
7710,"Train",1971,"Minitalia","Vintage",NA,"Normal",TRUE,88,"https://brickset.com/sets/24-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/24-1.jpg","https://images.brickset.com/sets/images/24-1.jpg"
7533,"Imagination Set 1",1971,"Samsonite","Vintage","Basic set","Normal",TRUE,290,"https://brickset.com/sets/101-2",0,0,"Box","{Not specified}",4.95,NA,16.5,16.5,13.4,NA,"https://images.brickset.com/sets/small/101-2.jpg","https://images.brickset.com/sets/images/101-2.jpg"
7534,"Imagination Set 2",1971,"Samsonite","Vintage","Basic set","Normal",TRUE,426,"https://brickset.com/sets/102-2",0,0,"Box","Retail",6.95,NA,18.415,18.415,18.415,1.346,"https://images.brickset.com/sets/small/102-2.jpg","https://images.brickset.com/sets/images/102-2.jpg"
