"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","US_retailPrice","height","width","depth","thumbnailURL","imageURL"
2,"Basic Building Set, 3+",1976,"Basic","Basic",NA,"Normal",TRUE,152,NA,"https://brickset.com/sets/10-2",0,0,"{Not specified}","{Not specified}",2.75,NA,NA,NA,"https://images.brickset.com/sets/small/10-1.jpg","https://images.brickset.com/sets/images/10-1.jpg"
707,"Basic Building Set, 3+",1976,"Basic","Basic",NA,"Normal",TRUE,217,NA,"https://brickset.com/sets/20-1",0,2,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/20-1.jpg","https://images.brickset.com/sets/images/20-1.jpg"
1233,"Basic Building Set, 3+",1976,"Basic","Basic",NA,"Normal",TRUE,258,NA,"https://brickset.com/sets/30-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/30-1.jpg","https://images.brickset.com/sets/images/30-1.jpg"
1866,"Basic Building Set, 3+",1976,"Basic","Basic",NA,"Normal",TRUE,258,NA,"https://brickset.com/sets/40-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/40-1.jpg","https://images.brickset.com/sets/images/40-1.jpg"
2391,"Basic Building Set, 3+",1976,"Basic","Basic",NA,"Normal",TRUE,390,NA,"https://brickset.com/sets/50-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/50-1.jpg","https://images.brickset.com/sets/images/50-1.jpg"
27657,"Basic Set",1976,"Samsonite","Vintage","Basic set","Normal",TRUE,291,NA,"https://brickset.com/sets/55-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
5260,"PreSchool Set",1976,"PreSchool","Pre-school",NA,"Normal",TRUE,20,NA,"https://brickset.com/sets/74-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/74-1.jpg","https://images.brickset.com/sets/images/74-1.jpg"
7989,"Police Station",1976,"PreSchool","Pre-school",NA,"Normal",TRUE,28,4,"https://brickset.com/sets/080-3",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/080-3.jpg","https://images.brickset.com/sets/images/080-3.jpg"
7990,"Train Station",1976,"PreSchool","Pre-school",NA,"Normal",TRUE,53,5,"https://brickset.com/sets/081-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
7991,"LEGOVille",1976,"PreSchool","Pre-school",NA,"Normal",TRUE,66,7,"https://brickset.com/sets/082-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
130,"Universal Motor",1976,"Basic","Basic","Supplementaries","Normal",TRUE,137,NA,"https://brickset.com/sets/107-1",3.5,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/107-1.jpg","https://images.brickset.com/sets/images/107-1.jpg"
7474,"Battery box",1976,"Basic","Basic",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/108-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/108-1.jpg","https://images.brickset.com/sets/images/108-1.jpg"
327,"Level Crossing",1976,"Trains","Modern day","4.5/12V","Normal",TRUE,68,1,"https://brickset.com/sets/146-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/146-1.jpg","https://images.brickset.com/sets/images/146-1.jpg"
340,"Refrigerated Wagon",1976,"Trains","Modern day","4.5/12V","Normal",TRUE,115,2,"https://brickset.com/sets/147-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/147-1.jpg","https://images.brickset.com/sets/images/147-1.jpg"
7181,"Fuel Refinery",1976,"Trains","Modern day","4.5/12V","Normal",TRUE,328,3,"https://brickset.com/sets/149-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/149-1.jpg","https://images.brickset.com/sets/images/149-1.jpg"
417,"Straight Track",1976,"Trains","Modern day","4.5/12V","Normal",TRUE,25,NA,"https://brickset.com/sets/156-2",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/156-2.jpg","https://images.brickset.com/sets/images/156-2.jpg"
425,"Curved Track",1976,"Trains","Modern day","4.5/12V","Normal",TRUE,25,NA,"https://brickset.com/sets/157-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/157-1.jpg","https://images.brickset.com/sets/images/157-1.jpg"
435,"Straight Track with Crossing",1976,"Trains","Modern day","4.5/12V","Normal",TRUE,25,NA,"https://brickset.com/sets/159-1",0,2,"Box","Retail",NA,NA,NA,NA,"https://images.brickset.com/sets/small/159-1.jpg","https://images.brickset.com/sets/images/159-1.jpg"
7475,"Train Set with Motor and Signal",1976,"Trains","Modern day","4.5/12V","Normal",TRUE,194,NA,"https://brickset.com/sets/183-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/183-1.jpg","https://images.brickset.com/sets/images/183-1.jpg"
5268,"Family",1976,"Building Set with People","Vintage",NA,"Normal",TRUE,94,NA,"https://brickset.com/sets/194-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/194-1.jpg","https://images.brickset.com/sets/images/194-1.jpg"
5271,"Farm Set",1976,"Building Set with People","Vintage",NA,"Normal",TRUE,120,NA,"https://brickset.com/sets/197-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/197-1.jpg","https://images.brickset.com/sets/images/197-1.jpg"
6694,"Cowboys",1976,"Building Set with People","Vintage",NA,"Normal",TRUE,39,NA,"https://brickset.com/sets/210-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/210-1.jpg","https://images.brickset.com/sets/images/210-1.jpg"
7478,"Mother and baby with dog",1976,"Building Set with People","Vintage",NA,"Normal",TRUE,46,NA,"https://brickset.com/sets/211-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/211-1.jpg","https://images.brickset.com/sets/images/211-1.jpg"
7479,"Scooter",1976,"Building Set with People","Vintage",NA,"Normal",TRUE,23,NA,"https://brickset.com/sets/212-2",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/212-2.jpg","https://images.brickset.com/sets/images/212-2.jpg"
