"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL"
3761,"Basic Building Set, 3+",1978,"Basic","Basic",NA,"Normal",TRUE,64,NA,"https://brickset.com/sets/7-1",0,0,"Box","{Not specified}","https://images.brickset.com/sets/small/7-1.jpg","https://images.brickset.com/sets/images/7-1.jpg"
4079,"Basic Building Set, 3+",1978,"Basic","Basic",NA,"Normal",TRUE,93,NA,"https://brickset.com/sets/8-1",0,0,"Box","{Not specified}","https://images.brickset.com/sets/small/8-1.jpg","https://images.brickset.com/sets/images/8-1.jpg"
4522,"Basic Building Set, 3+",1978,"Basic","Basic",NA,"Normal",TRUE,116,NA,"https://brickset.com/sets/9-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/9-1.jpg","https://images.brickset.com/sets/images/9-1.jpg"
5291,"Puppy",1978,"PreSchool","Pre-school",NA,"Normal",TRUE,8,NA,"https://brickset.com/sets/061-2",0,0,"{Not specified}","{Not specified}",NA,NA
3146,"Ducks",1978,"PreSchool","Pre-school",NA,"Normal",TRUE,5,NA,"https://brickset.com/sets/063-2",0,0,"{Not specified}","{Not specified}",NA,NA
4403,"Tub Boat",1978,"PreSchool","Pre-school",NA,"Normal",TRUE,3,1,"https://brickset.com/sets/086-1",0,0,"{Not specified}","{Not specified}",NA,NA
473,"Passenger Coach",1978,"Trains","Modern day","4.5/12V","Normal",TRUE,148,2,"https://brickset.com/sets/164-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/164-1.jpg","https://images.brickset.com/sets/images/164-1.jpg"
484,"Cargo Station",1978,"Trains","Modern day","4.5/12V","Normal",TRUE,268,2,"https://brickset.com/sets/165-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/165-1.jpg","https://images.brickset.com/sets/images/165-1.jpg"
7511,"Flat Wagon",1978,"Trains","Modern day","4.5/12V","Normal",TRUE,53,2,"https://brickset.com/sets/166-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/166-1.jpg","https://images.brickset.com/sets/images/166-1.jpg"
7512,"Car Transport Wagon",1978,"Trains","Modern day","4.5/12V","Normal",TRUE,102,2,"https://brickset.com/sets/167-1",0,1,"Box","Retail - limited","https://images.brickset.com/sets/small/167-1.jpg","https://images.brickset.com/sets/images/167-1.jpg"
743,"People Set",1978,"Basic","Basic",NA,"Normal",TRUE,120,NA,"https://brickset.com/sets/205-2",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/205-1.jpg","https://images.brickset.com/sets/images/205-1.jpg"
