"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL"
3844,"Universal Building Set, 7+",1980,"Basic","Basic",NA,"Normal",TRUE,301,NA,"https://brickset.com/sets/722-1",4.5,5,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/722-1.jpg","https://images.brickset.com/sets/images/722-1.jpg"
3895,"Universal Building Set, 7+",1980,"Basic","Basic",NA,"Normal",TRUE,533,NA,"https://brickset.com/sets/733-1",0,2,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/733-1.jpg","https://images.brickset.com/sets/images/733-1.jpg"
3935,"Universal Building Set with Motor, 7+",1980,"Basic","Basic",NA,"Normal",TRUE,537,NA,"https://brickset.com/sets/744-1",4.5,2,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/744-1.jpg","https://images.brickset.com/sets/images/744-1.jpg"
4135,"Red Plates Parts Pack",1980,"Basic","Basic","Supplementaries","Normal",TRUE,34,NA,"https://brickset.com/sets/820-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/820-1.jpg","https://images.brickset.com/sets/images/820-1.jpg"
4151,"Blue Plates Parts Pack",1980,"Basic","Basic","Supplementaries","Normal",TRUE,34,NA,"https://brickset.com/sets/822-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/822-1.jpg","https://images.brickset.com/sets/images/822-1.jpg"
4187,"Red Bricks Parts Pack",1980,"Basic","Basic","Supplementaries","Normal",TRUE,46,NA,"https://brickset.com/sets/830-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/830-1.jpg","https://images.brickset.com/sets/images/830-1.jpg"
4191,"Black Bricks Parts Pack",1980,"Basic","Basic","Supplementaries","Normal",TRUE,46,NA,"https://brickset.com/sets/831-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/831-1.jpg","https://images.brickset.com/sets/images/831-1.jpg"
4202,"Blue Bricks Parts Pack",1980,"Basic","Basic","Supplementaries","Normal",TRUE,46,NA,"https://brickset.com/sets/832-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/832-1.jpg","https://images.brickset.com/sets/images/832-1.jpg"
4208,"White Bricks Parts Pack",1980,"Basic","Basic","Supplementaries","Normal",TRUE,46,NA,"https://brickset.com/sets/833-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/833-1.jpg","https://images.brickset.com/sets/images/833-1.jpg"
4209,"Yellow Bricks Parts Pack",1980,"Basic","Basic","Supplementaries","Normal",TRUE,46,NA,"https://brickset.com/sets/834-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/834-1.jpg","https://images.brickset.com/sets/images/834-1.jpg"
