"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","thumbnailURL","imageURL"
8415,"Basic Souvenir Box",1981,"Basic","Basic",NA,"Normal",TRUE,38,NA,"https://brickset.com/sets/1-11",0,0,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/1-11.jpg","https://images.brickset.com/sets/images/1-11.jpg"
845,"Building Ideas Book",1981,"Books","Miscellaneous","LEGO","Book",TRUE,NA,NA,"https://brickset.com/sets/226-2",0,3,"{Not specified}","{Not specified}",NA,2.4,"https://images.brickset.com/sets/small/226-2.jpg","https://images.brickset.com/sets/images/226-2.jpg"
1395,"Basic Set",1981,"Basic","Basic",NA,"Normal",TRUE,82,NA,"https://brickset.com/sets/322-1",0,0,"{Not specified}","{Not specified}",NA,6,"https://images.brickset.com/sets/small/322-1.jpg","https://images.brickset.com/sets/images/322-1.jpg"
1462,"Basic Set",1981,"Basic","Basic",NA,"Normal",TRUE,98,2,"https://brickset.com/sets/333-1",0,0,"{Not specified}","{Not specified}",NA,10,"https://images.brickset.com/sets/small/333-1.jpg","https://images.brickset.com/sets/images/333-1.jpg"
1636,"Universal Building Set",1981,"Basic","Basic",NA,"Normal",TRUE,181,2,"https://brickset.com/sets/355-2",0,0,"{Not specified}","{Not specified}",NA,18.5,"https://images.brickset.com/sets/small/355-2.jpg","https://images.brickset.com/sets/images/355-2.jpg"
1721,"Basic Building Set",1981,"Basic","Basic",NA,"Normal",TRUE,184,2,"https://brickset.com/sets/366-1",0,0,"Box","{Not specified}",3,NA,"https://images.brickset.com/sets/small/366-1.jpg","https://images.brickset.com/sets/images/366-1.jpg"
2780,"Basic Building Set, 5+",1981,"Basic","Basic",NA,"Normal",TRUE,141,1,"https://brickset.com/sets/544-1",0,1,"{Not specified}","{Not specified}",NA,9.5,"https://images.brickset.com/sets/small/544-1.jpg","https://images.brickset.com/sets/images/544-1.jpg"
2806,"Basic Building Set, 5+",1981,"Basic","Basic",NA,"Normal",TRUE,246,2,"https://brickset.com/sets/555-2",4,4,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/555-2.jpg","https://images.brickset.com/sets/images/555-2.jpg"
2824,"Basic Building Set, 5+",1981,"Basic","Basic",NA,"Normal",TRUE,288,2,"https://brickset.com/sets/566-1",0,1,"{Not specified}","{Not specified}",NA,26,"https://images.brickset.com/sets/small/566-1.jpg","https://images.brickset.com/sets/images/566-1.jpg"
2850,"Basic Building Set, 5+",1981,"Basic","Basic",NA,"Normal",TRUE,384,2,"https://brickset.com/sets/577-1",0,1,"{Not specified}","{Not specified}",NA,38,"https://images.brickset.com/sets/small/577-1.jpg","https://images.brickset.com/sets/images/577-1.jpg"
4517,"Wind-Up Motor",1981,"Basic","Basic","Supplementaries","Normal",TRUE,10,NA,"https://brickset.com/sets/890-1",3.3,3,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/890-1.jpg","https://images.brickset.com/sets/images/890-1.jpg"
7852,"Road Plates and Signs",1981,"Dacta","Educational",NA,"Normal",TRUE,30,NA,"https://brickset.com/sets/1060-1",0,0,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/1060-1.jpg","https://images.brickset.com/sets/images/1060-1.jpg"
7854,"Dacta Buildings",1981,"Dacta","Educational",NA,"Normal",TRUE,396,6,"https://brickset.com/sets/1064-1",0,0,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/1064-1.jpg","https://images.brickset.com/sets/images/1064-1.jpg"
26967,"Battery Wagon",1981,"Service Packs","Miscellaneous","Trains","Normal",TRUE,4,NA,"https://brickset.com/sets/1134-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA
26968," Battery Cable Kit",1981,"Service Packs","Miscellaneous","Trains","Normal",TRUE,13,NA,"https://brickset.com/sets/1135-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA
26969,"Buffers, Magnetic Couplers",1981,"Service Packs","Miscellaneous","Trains","Normal",TRUE,6,NA,"https://brickset.com/sets/1136-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA
26970,"Train Couplings",1981,"Service Packs","Miscellaneous","Trains","Normal",TRUE,4,NA,"https://brickset.com/sets/1137-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA
26971,"Replacement Rubber Wheel Treads for Trains",1981,"Service Packs","Miscellaneous","Trains","Normal",TRUE,8,NA,"https://brickset.com/sets/1138-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA
26972,"Motor-Mount Plate with Magnetic Couplers",1981,"Service Packs","Miscellaneous","Trains","Normal",TRUE,5,NA,"https://brickset.com/sets/1139-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA
26973,"12V Light Bricks",1981,"Service Packs","Miscellaneous","Trains","Normal",TRUE,2,NA,"https://brickset.com/sets/1140-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA
26974,"Wheel Bricks with Small Red Train Wheels",1981,"Service Packs","Miscellaneous","Trains","Normal",TRUE,2,NA,"https://brickset.com/sets/1141-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA
26975,"Wheel Bricks with Small Black Train-Wheels",1981,"Service Packs","Miscellaneous","Trains","Normal",TRUE,2,NA,"https://brickset.com/sets/1142-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA
