"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","weight","height","width","depth","thumbnailURL","imageURL"
5043,"Air Canada Jet Plane",1988,"Town","Modern day","Special","Normal",TRUE,92,NA,"https://brickset.com/sets/611-2",0,0,"Box","Promotional",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/611-2.jpg","https://images.brickset.com/sets/images/611-2.jpg"
7856,"Community Vehicles",1988,"Dacta","Educational",NA,"Normal",TRUE,203,14,"https://brickset.com/sets/1067-1",0,2,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1067-1.jpg","https://images.brickset.com/sets/images/1067-1.jpg"
357,"Town Bank",1988,"Town","Modern day","Shops and Services","Normal",TRUE,187,3,"https://brickset.com/sets/1490-1",3.8,6,"Box","Retail - limited",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1490-1.jpg","https://images.brickset.com/sets/images/1490-1.jpg"
9409,"Basic Building Set Trial Size",1988,"Basic","Basic","Universal Building Set","Normal",TRUE,26,NA,"https://brickset.com/sets/1495-1",0,0,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1495-1.jpg","https://images.brickset.com/sets/images/1495-1.jpg"
29633,"Oval Bricks",1988,"Duplo","Pre-school",NA,"Normal",TRUE,2,NA,"https://brickset.com/sets/1500-1",0,0,"Box","{Not specified}",NA,NA,NA,NA,NA,NA,NA
9408,"Basic Building Set Trial Size",1988,"Basic","Basic","Universal Building Set","Normal",TRUE,46,NA,"https://brickset.com/sets/1514-1",0,0,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1514-1.jpg","https://images.brickset.com/sets/images/1514-1.jpg"
5383,"Space Value Pack",1988,"Space","Action/Adventure","Bonus/Value Pack","Collection",TRUE,83,NA,"https://brickset.com/sets/1530-2",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1530-2.jpg","https://images.brickset.com/sets/images/1530-2.jpg"
400,"Duplo Building Set",1988,"Duplo","Pre-school",NA,"Normal",TRUE,55,2,"https://brickset.com/sets/1544-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1544-1.jpg","https://images.brickset.com/sets/images/1544-1.jpg"
6158,"Basic Set 3+",1988,"Basic","Basic",NA,"Normal",TRUE,216,1,"https://brickset.com/sets/1577-1",0,0,"Bucket","Retail",3,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1577-1.jpg","https://images.brickset.com/sets/images/1577-1.jpg"
433,"Knight's Challenge",1988,"Castle","Historical","Lion Knights","Normal",TRUE,132,8,"https://brickset.com/sets/1584-1",4,4,"Box","Retail - limited",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1584-1.jpg","https://images.brickset.com/sets/images/1584-1.jpg"
452,"Victory Racer",1988,"Town","Modern day","Racing","Normal",TRUE,25,1,"https://brickset.com/sets/1612-1",3.4,5,"Polybag","Retail - limited",6,0.025,NA,NA,NA,"https://images.brickset.com/sets/small/1612-1.jpg","https://images.brickset.com/sets/images/1612-1.jpg"
