"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","height","width","depth","thumbnailURL","imageURL"
356,"Mobile Car Crane",1989,"Town","Modern day","Vehicles","Normal",TRUE,174,2,"https://brickset.com/sets/1489-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1489-1.jpg","https://images.brickset.com/sets/images/1489-1.jpg"
6941,"Universal Building Set",1989,"Basic","Basic",NA,"Normal",TRUE,66,1,"https://brickset.com/sets/1513-2",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1513-2.jpg","https://images.brickset.com/sets/images/1513-2.jpg"
370,"Town Value Pack",1989,"Town","Modern day","Bonus/Value Pack","Collection",TRUE,105,NA,"https://brickset.com/sets/1515-2",0,0,"Box","Retail - limited",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1515-2.jpg","https://images.brickset.com/sets/images/1515-2.jpg"
373,"Black Racing Car",1989,"Town","Modern day","Racing","Normal",TRUE,32,1,"https://brickset.com/sets/1517-1",3.3,3,"Box","Retail - limited",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1517-1.jpg","https://images.brickset.com/sets/images/1517-1.jpg"
375,"Racing Service Crew",1989,"Town","Modern day","Racing","Normal",TRUE,73,2,"https://brickset.com/sets/1518-1",0,1,"Box","Retail - limited",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1518-1.jpg","https://images.brickset.com/sets/images/1518-1.jpg"
9411,"Basic Building Set Trial Size",1989,"Basic","Basic","Universal Building Set","Normal",TRUE,24,NA,"https://brickset.com/sets/1521-1",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA
9410,"Basic Building Set Trial Size",1989,"Basic","Basic","Universal Building Set","Normal",TRUE,44,NA,"https://brickset.com/sets/1522-2",0,1,"Box","Retail",NA,NA,NA,NA,NA,NA
454,"Special Two-Set Space Pack",1989,"Space","Action/Adventure","Bonus/Value Pack","Collection",TRUE,132,NA,"https://brickset.com/sets/1616-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1616-1.jpg","https://images.brickset.com/sets/images/1616-1.jpg"
458,"Astro Dart",1989,"Space","Action/Adventure","Futuron","Normal",TRUE,30,1,"https://brickset.com/sets/1620-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1620-1.jpg","https://images.brickset.com/sets/images/1620-1.jpg"
459,"Lunar MPV Vehicle",1989,"Space","Action/Adventure","Futuron","Normal",TRUE,102,2,"https://brickset.com/sets/1621-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1621-1.jpg","https://images.brickset.com/sets/images/1621-1.jpg"
461,"Snowman",1989,"Basic","Basic","Seasonal","Normal",TRUE,40,NA,"https://brickset.com/sets/1625-1",0,3,"Polybag","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1625-1.jpg","https://images.brickset.com/sets/images/1625-1.jpg"
462,"Angel",1989,"Basic","Basic","Seasonal","Normal",TRUE,33,NA,"https://brickset.com/sets/1626-1",0,2,"Polybag","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1626-1.jpg","https://images.brickset.com/sets/images/1626-1.jpg"
463,"Santa",1989,"Basic","Basic","Seasonal","Normal",TRUE,36,NA,"https://brickset.com/sets/1627-1",0,1,"Polybag","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1627-1.jpg","https://images.brickset.com/sets/images/1627-1.jpg"
464,"Santa with Reindeer and Sleigh",1989,"Basic","Basic","Seasonal","Normal",TRUE,63,NA,"https://brickset.com/sets/1628-1",0,2,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1628-1.jpg","https://images.brickset.com/sets/images/1628-1.jpg"
474,"Tuttle the Turtle",1989,"Duplo","Pre-school",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/1640-1",0,1,"Polybag","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1640-1.jpg","https://images.brickset.com/sets/images/1640-1.jpg"
475,"Crocodile",1989,"Duplo","Pre-school",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/1641-1",0,0,"Polybag","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1641-1.jpg","https://images.brickset.com/sets/images/1641-1.jpg"
476,"Sea Eagle",1989,"Basic","Basic",NA,"Normal",TRUE,15,NA,"https://brickset.com/sets/1642-1",0,1,"Polybag","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1642-1.jpg","https://images.brickset.com/sets/images/1642-1.jpg"
477,"Lightning Striker",1989,"Basic","Basic",NA,"Normal",TRUE,16,NA,"https://brickset.com/sets/1643-1",0,0,"Polybag","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1643-1.jpg","https://images.brickset.com/sets/images/1643-1.jpg"
478,"Wind Whirler",1989,"Basic","Basic",NA,"Normal",TRUE,17,NA,"https://brickset.com/sets/1644-1",0,0,"Polybag","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1644-1.jpg","https://images.brickset.com/sets/images/1644-1.jpg"
479,"Gyro Bird",1989,"Basic","Basic",NA,"Normal",TRUE,19,NA,"https://brickset.com/sets/1645-1",0,0,"Polybag","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1645-1.jpg","https://images.brickset.com/sets/images/1645-1.jpg"
480,"Land Laser",1989,"Basic","Basic",NA,"Normal",TRUE,17,NA,"https://brickset.com/sets/1646-1",0,1,"Polybag","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1646-1.jpg","https://images.brickset.com/sets/images/1646-1.jpg"
481,"Turbo Force",1989,"Basic","Basic",NA,"Normal",TRUE,14,NA,"https://brickset.com/sets/1647-1",0,0,"Polybag","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1647-1.jpg","https://images.brickset.com/sets/images/1647-1.jpg"
482,"Swamp  Stinger",1989,"Basic","Basic",NA,"Normal",TRUE,16,NA,"https://brickset.com/sets/1648-1",0,0,"Polybag","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1648-1.jpg","https://images.brickset.com/sets/images/1648-1.jpg"
483,"Sea Skimmer",1989,"Basic","Basic",NA,"Normal",TRUE,17,NA,"https://brickset.com/sets/1649-1",0,1,"Polybag","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1649-1.jpg","https://images.brickset.com/sets/images/1649-1.jpg"
22419,"Container Set",1989,"Duplo","Pre-school",NA,"Normal",TRUE,38,2,"https://brickset.com/sets/1653-1",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA
