"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","thumbnailURL","imageURL"
4133,"Blue baseplate",1991,"Basic","Basic","Supplementaries","Normal",TRUE,1,NA,"https://brickset.com/sets/819-1",0,0,"Shrink-wrapped","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/819-1.jpg","https://images.brickset.com/sets/images/819-1.jpg"
7834,"Farm",1991,"Dacta","Educational",NA,"Normal",TRUE,89,4,"https://brickset.com/sets/1040-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
9412,"Basic Building Set with Gift Item",1991,"Basic","Basic","Universal Building Set","Normal",TRUE,69,1,"https://brickset.com/sets/1474-1",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,NA
343,"Airport Security Squad",1991,"Town","Modern day","Flight","Normal",TRUE,123,2,"https://brickset.com/sets/1475-1",0,2,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1475-1.jpg","https://images.brickset.com/sets/images/1475-1.jpg"
344,"Five Set Bonus Pack",1991,"Assorted","Miscellaneous","Bonus/Value Pack","Collection",TRUE,158,NA,"https://brickset.com/sets/1476-1",0,2,"Box with backing card","Retail - limited",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1476-1.jpg","https://images.brickset.com/sets/images/1476-1.jpg"
349,"Red Race Car Number 3",1991,"Town","Modern day","Racing","Normal",TRUE,39,1,"https://brickset.com/sets/1477-1",3.2,6,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1477-1.jpg","https://images.brickset.com/sets/images/1477-1.jpg"
350,"Mobile Satellite Up-Link",1991,"Space","Action/Adventure","M-Tron","Normal",TRUE,31,1,"https://brickset.com/sets/1478-1",3.3,5,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1478-1.jpg","https://images.brickset.com/sets/images/1478-1.jpg"
351,"Two-Pilot Craft",1991,"Space","Action/Adventure","Blacktron 2","Normal",TRUE,34,2,"https://brickset.com/sets/1479-1",3.4,6,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1479-1.jpg","https://images.brickset.com/sets/images/1479-1.jpg"
353,"King's Catapult",1991,"Castle","Historical","Lion Knights","Normal",TRUE,33,1,"https://brickset.com/sets/1480-1",3.2,5,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1480-1.jpg","https://images.brickset.com/sets/images/1480-1.jpg"
354,"Pirates Desert Island",1991,"Pirates","Historical",NA,"Normal",TRUE,21,1,"https://brickset.com/sets/1481-1",3.3,4,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1481-1.jpg","https://images.brickset.com/sets/images/1481-1.jpg"
10113,"Sailor and Parrot",1991,"Duplo","Pre-school",NA,"Normal",TRUE,19,NA,"https://brickset.com/sets/1483-1",0,0,"Box","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
404,"Stena Line Ferry",1991,"Promotional","Miscellaneous","Ferries","Normal",TRUE,172,NA,"https://brickset.com/sets/1548-1",0,0,"Box","Promotional",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1548-1.jpg","https://images.brickset.com/sets/images/1548-1.jpg"
438,"Duplo Bucket",1991,"Duplo","Pre-school",NA,"Normal",TRUE,32,2,"https://brickset.com/sets/1591-2",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1591-2.jpg","https://images.brickset.com/sets/images/1591-2.jpg"
449,"Police Car",1991,"Town","Modern day","Police","Normal",TRUE,23,NA,"https://brickset.com/sets/1610-1",2.8,7,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1610-1.jpg","https://images.brickset.com/sets/images/1610-1.jpg"
450,"Red Race Car",1991,"Town","Modern day","Racing","Normal",TRUE,21,NA,"https://brickset.com/sets/1611-1",0,3,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1611-1.jpg","https://images.brickset.com/sets/images/1611-1.jpg"
10114,"Fire Dispatch",1991,"Duplo","Pre-school",NA,"Normal",TRUE,18,2,"https://brickset.com/sets/1635-1",0,0,"Box","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
490,"Evacuation Team",1991,"Town","Modern day","Fire","Normal",TRUE,236,2,"https://brickset.com/sets/1656-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1656-1.jpg","https://images.brickset.com/sets/images/1656-1.jpg"
