"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","weight","thumbnailURL","imageURL"
1547,"Small Play Bucket, 3+",1993,"Basic","Basic",NA,"Normal",TRUE,131,NA,"https://brickset.com/sets/345-2",0,1,"{Not specified}","{Not specified}",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26632,"Build-n-Store Chest",1993,"Basic","Basic",NA,"Normal",TRUE,333,NA,"https://brickset.com/sets/365-3",0,0,"Plastic box","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/365-3.jpg","https://images.brickset.com/sets/images/365-3.jpg"
6318,"Family Bucket, 3+",1993,"Basic","Basic",NA,"Normal",TRUE,229,NA,"https://brickset.com/sets/1504-1",0,0,"Bucket","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1504-1.jpg","https://images.brickset.com/sets/images/1504-1.jpg"
22488,"Betsy's Bedroom",1993,"Duplo","Pre-school",NA,"Normal",TRUE,39,1,"https://brickset.com/sets/1540-1",0,0,"Other","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1540-1.jpg","https://images.brickset.com/sets/images/1540-1.jpg"
403,"Black Knights Boat",1993,"Castle","Historical","Black Knights","Normal",TRUE,58,2,"https://brickset.com/sets/1547-1",3.7,4,"Box","Retail - limited",4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1547-1.jpg","https://images.brickset.com/sets/images/1547-1.jpg"
429,"Animal Fun",1993,"Duplo","Pre-school",NA,"Normal",TRUE,30,NA,"https://brickset.com/sets/1579-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1579-1.jpg","https://images.brickset.com/sets/images/1579-1.jpg"
22489,"Girl with Cat",1993,"Duplo","Pre-school",NA,"Normal",TRUE,17,NA,"https://brickset.com/sets/1595-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,"Ghostly Hideout",1993,"Castle","Historical","Wolfpack","Normal",TRUE,37,2,"https://brickset.com/sets/1596-1",4.3,8,"Box","Retail - limited",4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1596-1.jpg","https://images.brickset.com/sets/images/1596-1.jpg"
442,"Castle Value Pack",1993,"Castle","Historical","Bonus/Value Pack","Collection",TRUE,117,NA,"https://brickset.com/sets/1597-1",0,2,"Box","Retail - limited",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1597-1.jpg","https://images.brickset.com/sets/images/1597-1.jpg"
453,"Build-A-Farm",1993,"Duplo","Pre-school",NA,"Normal",TRUE,23,2,"https://brickset.com/sets/1614-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460,"King's Archer",1993,"Castle","Historical","Black Knights","Normal",TRUE,22,1,"https://brickset.com/sets/1624-1",3.4,5,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1624-1.jpg","https://images.brickset.com/sets/images/1624-1.jpg"
7238,"Basic Building Set Trial Size",1993,"Basic","Basic",NA,"Normal",TRUE,30,NA,"https://brickset.com/sets/1651-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1651-1.jpg","https://images.brickset.com/sets/images/1651-1.jpg"
487,"Mini Box, 5+",1993,"Basic","Basic",NA,"Normal",TRUE,39,NA,"https://brickset.com/sets/1652-1",0,1,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1652-1.jpg","https://images.brickset.com/sets/images/1652-1.jpg"
507,"Midnight Transport",1993,"Town","Modern day","Flight","Normal",TRUE,262,3,"https://brickset.com/sets/1687-1",0,2,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1687-1.jpg","https://images.brickset.com/sets/images/1687-1.jpg"
508,"Large Play Bucket, 3+",1993,"Basic","Basic",NA,"Normal",TRUE,216,NA,"https://brickset.com/sets/1688-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1688-1.jpg","https://images.brickset.com/sets/images/1688-1.jpg"
22490,"Small Bucket, 3+",1993,"Basic","Basic",NA,"Normal",TRUE,179,NA,"https://brickset.com/sets/1699-1",0,0,"Bucket","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5367,"20th Anniversary Jackpot Bucket",1993,"Basic","Basic",NA,"Normal",TRUE,400,NA,"https://brickset.com/sets/1707-1",0,0,"{Not specified}","{Not specified}",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1707-1.jpg","https://images.brickset.com/sets/images/1707-1.jpg"
22491,"20th Anniversary Jackpot Bucket",1993,"Duplo","Pre-school",NA,"Normal",TRUE,50,2,"https://brickset.com/sets/1735-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22492,"20th Anniversary Jackpot Bucket",1993,"Duplo","Pre-school",NA,"Normal",TRUE,90,3,"https://brickset.com/sets/1816-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
