"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","UK_retailPrice","weight","thumbnailURL","imageURL"
22519,"Value Pack Italy",1995,"Assorted","Miscellaneous",NA,"Collection",TRUE,91,NA,"https://brickset.com/sets/22-3",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/22-3.jpg","https://images.brickset.com/sets/images/22-3.jpg"
22520,"Value Pack Italy",1995,"Town","Modern day","Product Collection","Collection",TRUE,161,NA,"https://brickset.com/sets/23-2",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/23-2.jpg","https://images.brickset.com/sets/images/23-2.jpg"
26815,"Trial Size Bag (Coloraction promotion)",1995,"Creator","Model making",NA,"Normal",TRUE,15,NA,"https://brickset.com/sets/1270-3",0,0,"Polybag","Promotional",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1270-3.jpg","https://images.brickset.com/sets/images/1270-3.jpg"
493,"Kronprins Frederik Ferry",1995,"Promotional","Miscellaneous","Ferries","Normal",TRUE,163,NA,"https://brickset.com/sets/1660-1",0,0,"Box","Promotional",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1660-1.jpg","https://images.brickset.com/sets/images/1660-1.jpg"
534,"Surveillance Scooter",1995,"Space","Action/Adventure","Spyrius","Normal",TRUE,22,1,"https://brickset.com/sets/1714-1",0,1,"Polybag","Retail - limited",NA,1.99,NA,NA,"https://images.brickset.com/sets/small/1714-1.jpg","https://images.brickset.com/sets/images/1714-1.jpg"
8779,"Standard Bricks",1995,"Basic","Basic",NA,"Normal",TRUE,400,NA,"https://brickset.com/sets/1715-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1715-1.jpg","https://images.brickset.com/sets/images/1715-1.jpg"
9436,"Freestyle Bricks and Plates",1995,"Freestyle","Basic",NA,"Normal",TRUE,199,NA,"https://brickset.com/sets/1719-2",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA
10358,"Large Clown Bucket",1995,"Duplo","Pre-school",NA,"Normal",TRUE,77,NA,"https://brickset.com/sets/1734-1",0,0,"Bucket","Retail",NA,NA,NA,NA,NA,NA
556,"Wizard's Cart",1995,"Castle","Historical","Dragon Knights","Normal",TRUE,17,1,"https://brickset.com/sets/1736-1",3.8,5,"Box","Retail",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1736-1.jpg","https://images.brickset.com/sets/images/1736-1.jpg"
562,"Standard Bricks, 5+",1995,"Basic","Basic",NA,"Normal",TRUE,400,NA,"https://brickset.com/sets/1743-1",0,0,"Box","Retail",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1743-1.jpg","https://images.brickset.com/sets/images/1743-1.jpg"
