"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","height","width","depth","weight","thumbnailURL","imageURL"
9581,"UFO Action Pack",1997,"Space","Action/Adventure","UFO","Collection",TRUE,94,NA,"https://brickset.com/sets/54-1",0,0,"Box","Retail - limited",5,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/54-1.jpg","https://images.brickset.com/sets/images/54-1.jpg"
3739,"Building Ideas Book",1997,"Books","Miscellaneous","LEGO","Book",TRUE,1,NA,"https://brickset.com/sets/697-2",3.4,4,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/697-2.jpg","https://images.brickset.com/sets/images/697-2.jpg"
558,"Penguin",1997,"Duplo","Pre-school",NA,"Normal",TRUE,8,NA,"https://brickset.com/sets/1739-1",0,0,"Polybag","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1739-1.jpg","https://images.brickset.com/sets/images/1739-1.jpg"
22454,"Dinosaur Babies",1997,"Duplo","Pre-school",NA,"Normal",TRUE,90,NA,"https://brickset.com/sets/1781-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1781-1.jpg","https://images.brickset.com/sets/images/1781-1.jpg"
581,"Discovery Station",1997,"Town","Modern day","Divers","Normal",TRUE,322,5,"https://brickset.com/sets/1782-1",4.1,4,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1782-1.jpg","https://images.brickset.com/sets/images/1782-1.jpg"
582,"Primo Rattle",1997,"Primo","Pre-school",NA,"Normal",TRUE,2,NA,"https://brickset.com/sets/1783-1",0,0,"Polybag","Promotional",NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1783-1.jpg","https://images.brickset.com/sets/images/1783-1.jpg"
612,"Flying Duck",1997,"Basic","Basic",NA,"Normal",TRUE,17,1,"https://brickset.com/sets/1824-1",0,0,"Polybag","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1824-1.jpg","https://images.brickset.com/sets/images/1824-1.jpg"
613,"Racing Car",1997,"Basic","Basic",NA,"Normal",TRUE,19,NA,"https://brickset.com/sets/1825-1",0,0,"Polybag","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1825-1.jpg","https://images.brickset.com/sets/images/1825-1.jpg"
614,"Bird? Boat? Plane?",1997,"Basic","Basic",NA,"Normal",TRUE,19,NA,"https://brickset.com/sets/1826-1",0,0,"Polybag","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1826-1.jpg","https://images.brickset.com/sets/images/1826-1.jpg"
615,"Helicopter",1997,"Basic","Basic",NA,"Normal",TRUE,19,NA,"https://brickset.com/sets/1827-1",0,0,"Polybag","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1827-1.jpg","https://images.brickset.com/sets/images/1827-1.jpg"
22455,"Medium Bulk Bucket",1997,"Basic","Basic",NA,"Normal",TRUE,400,NA,"https://brickset.com/sets/1867-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1867-1.jpg","https://images.brickset.com/sets/images/1867-1.jpg"
4930,"Jumbo Building Bag",1997,"Primo","Pre-school",NA,"Normal",TRUE,80,1,"https://brickset.com/sets/2003-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30262,"{?}",1997,"Primo","Pre-school",NA,"Normal",TRUE,NA,NA,"https://brickset.com/sets/2008-2",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2008-2-1.jpg","https://images.brickset.com/sets/images/2008-2-1.jpg"
22456,"Large Bulk Box",1997,"Primo","Pre-school",NA,"Normal",TRUE,25,NA,"https://brickset.com/sets/2009-2",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712,"Baby Walker",1997,"Primo","Pre-school",NA,"Normal",TRUE,14,1,"https://brickset.com/sets/2010-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2010-1.jpg","https://images.brickset.com/sets/images/2010-1.jpg"
763,"Stack 'n' Learn Starter Set",1997,"Primo","Pre-school",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/2081-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2081-1.jpg","https://images.brickset.com/sets/images/2081-1.jpg"
4938,"Medium Stack 'n' Learn Set",1997,"Primo","Pre-school",NA,"Normal",TRUE,8,1,"https://brickset.com/sets/2083-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
766,"Frederick Frog",1997,"Primo","Pre-school",NA,"Normal",TRUE,13,NA,"https://brickset.com/sets/2085-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
