"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","height","width","depth","weight","thumbnailURL","imageURL"
248,"Advent Calendar",1998,"Classic","Basic",NA,"Collection",TRUE,158,NA,"https://brickset.com/sets/1298-1",0,1,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1298-1.jpg","https://images.brickset.com/sets/images/1298-1.jpg"
597,"Turtle",1998,"Duplo","Pre-school",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/1800-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1800-1.jpg","https://images.brickset.com/sets/images/1800-1.jpg"
709,"Sally Starfish",1998,"Primo","Pre-school",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/2000-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2000-1.jpg","https://images.brickset.com/sets/images/2000-1.jpg"
710,"Sun Set",1998,"Primo","Pre-school",NA,"Normal",TRUE,3,NA,"https://brickset.com/sets/2001-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2001-1.jpg","https://images.brickset.com/sets/images/2001-1.jpg"
4929,"Jumbo Building Bag",1998,"Primo","Pre-school",NA,"Normal",TRUE,80,NA,"https://brickset.com/sets/2002-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711,"Singing Camel",1998,"Primo","Pre-school",NA,"Normal",TRUE,1,1,"https://brickset.com/sets/2007-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2007-1.jpg","https://images.brickset.com/sets/images/2007-1.jpg"
713,"My Home Stack 'n' Learn Set",1998,"Primo","Pre-school",NA,"Normal",TRUE,5,1,"https://brickset.com/sets/2011-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2011-1.jpg","https://images.brickset.com/sets/images/2011-1.jpg"
9405,"Lucy Ladybug",1998,"Primo","Pre-school",NA,"Normal",TRUE,13,NA,"https://brickset.com/sets/2012-1",0,0,"Plastic box","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714,"My First Train Stack 'n' Learn Set",1998,"Primo","Pre-school",NA,"Normal",TRUE,10,1,"https://brickset.com/sets/2013-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2013-1.jpg","https://images.brickset.com/sets/images/2013-1.jpg"
4932,"Choo Choo Train",1998,"Primo","Pre-school",NA,"Normal",TRUE,13,1,"https://brickset.com/sets/2017-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
