"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","DE_retailPrice","DE_dateFirstAvailable","DE_dateLastAvailable","height","width","depth","weight","thumbnailURL","imageURL"
9140,"Brick Separator, Orange",2011,"Bricks and More","Basic","Accessories","Normal",TRUE,1,NA,"https://brickset.com/sets/630-3",3.9,10,"Polybag","Retail - limited",4,2.49,"2011-12-04T00:00:00Z","2021-02-08T00:00:00Z",1.99,"2011-12-04T00:00:00Z","2021-02-08T00:00:00Z",2.99,"2011-12-04T00:00:00Z","2021-02-08T00:00:00Z",2.49,"2015-01-14T00:00:00Z","2021-02-08T00:00:00Z",NA,NA,NA,NA,"https://images.brickset.com/sets/small/630-3.jpg","https://images.brickset.com/sets/images/630-3.jpg"
9141,"LEGO Duck",2011,"Miscellaneous","Miscellaneous","Employee gift","Normal",TRUE,91,NA,"https://brickset.com/sets/2011-2",0,1,"Box","Promotional",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2011-2.jpg","https://images.brickset.com/sets/images/2011-2.jpg"
8269,"Stormer 2.0",2011,"HERO Factory","Constraction","Ordeal of Fire","Normal",TRUE,31,NA,"https://brickset.com/sets/2063-1",3.7,9,"Plastic canister","Retail",6,7.99,"2010-12-25T00:00:00Z","2011-11-12T00:00:00Z",7.99,"2010-12-28T00:00:00Z","2011-10-30T00:00:00Z",10.99,"2011-05-31T00:00:00Z","2011-11-12T00:00:00Z",NA,NA,NA,18.21,11.25,6.1,0.15,"https://images.brickset.com/sets/small/2063-1.jpg","https://images.brickset.com/sets/images/2063-1.jpg"
8270,"Furno 2.0",2011,"HERO Factory","Constraction","Ordeal of Fire","Normal",TRUE,30,NA,"https://brickset.com/sets/2065-1",3.6,3,"Plastic canister","Retail",6,7.99,"2010-12-25T00:00:00Z","2011-12-08T00:00:00Z",7.99,"2010-12-28T00:00:00Z","2011-11-10T00:00:00Z",10.99,"2011-05-31T00:00:00Z","2011-12-08T00:00:00Z",NA,NA,NA,18.21,11.25,6.1,0.15,"https://images.brickset.com/sets/small/2065-1.jpg","https://images.brickset.com/sets/images/2065-1.jpg"
8271,"Evo 2.0",2011,"HERO Factory","Constraction","Ordeal of Fire","Normal",TRUE,31,NA,"https://brickset.com/sets/2067-1",4.1,8,"Plastic canister","Retail",6,7.99,"2010-12-25T00:00:00Z","2011-12-06T00:00:00Z",7.99,"2010-12-28T00:00:00Z","2011-11-10T00:00:00Z",10.99,"2011-05-31T00:00:00Z","2011-12-06T00:00:00Z",NA,NA,NA,18.21,11.25,6.1,0.15,"https://images.brickset.com/sets/small/2067-1.jpg","https://images.brickset.com/sets/images/2067-1.jpg"
8272,"Nex 2.0",2011,"HERO Factory","Constraction","Ordeal of Fire","Normal",TRUE,31,NA,"https://brickset.com/sets/2068-1",4,12,"Plastic canister","Retail",6,7.99,"2010-12-25T00:00:00Z","2012-01-14T00:00:00Z",7.99,"2010-12-28T00:00:00Z","2011-11-18T00:00:00Z",10.99,"2011-05-31T00:00:00Z","2011-12-31T00:00:00Z",NA,NA,NA,18.21,11.25,6.1,0.15,"https://images.brickset.com/sets/small/2068-1.jpg","https://images.brickset.com/sets/images/2068-1.jpg"
8283,"Kai",2011,"Ninjago","Action/Adventure","Spinners","Normal",TRUE,19,1,"https://brickset.com/sets/2111-1",3.7,8,"Blister pack","Retail",6,9.99,"2011-01-04T00:00:00Z","2011-06-29T00:00:00Z",7.49,"2010-12-28T00:00:00Z","2011-08-08T00:00:00Z",12.99,"2011-05-31T00:00:00Z","2011-07-21T00:00:00Z",NA,NA,NA,23.01,17.2,2.79,0.1,"https://images.brickset.com/sets/small/2111-1.jpg","https://images.brickset.com/sets/images/2111-1.jpg"
8284,"Cole",2011,"Ninjago","Action/Adventure","Spinners","Normal",TRUE,19,1,"https://brickset.com/sets/2112-1",3.7,3,"Blister pack","Retail",6,9.99,"2011-01-04T00:00:00Z","2011-07-21T00:00:00Z",7.49,"2010-12-28T00:00:00Z","2012-05-04T00:00:00Z",12.99,"2011-05-31T00:00:00Z","2011-08-20T00:00:00Z",NA,NA,NA,23.01,17.2,2.79,0.1,"https://images.brickset.com/sets/small/2112-1.jpg","https://images.brickset.com/sets/images/2112-1.jpg"
8285,"Zane",2011,"Ninjago","Action/Adventure","Spinners","Normal",TRUE,19,1,"https://brickset.com/sets/2113-1",4,5,"{Not specified}","{Not specified}",6,9.99,"2011-01-04T00:00:00Z","2011-04-16T00:00:00Z",7.49,"2010-12-28T00:00:00Z","2011-05-07T00:00:00Z",NA,NA,NA,NA,NA,NA,23.01,17.2,2.79,0.1,"https://images.brickset.com/sets/small/2113-1.jpg","https://images.brickset.com/sets/images/2113-1.jpg"
8286,"Chopov",2011,"Ninjago","Action/Adventure","Spinners","Normal",TRUE,20,1,"https://brickset.com/sets/2114-1",3.7,3,"{Not specified}","{Not specified}",6,9.99,"2011-01-04T00:00:00Z","2011-12-29T00:00:00Z",7.49,"2010-12-28T00:00:00Z","2011-12-28T00:00:00Z",12.99,"2011-05-31T00:00:00Z","2011-12-29T00:00:00Z",NA,NA,NA,23.01,17.2,2.79,0.1,"https://images.brickset.com/sets/small/2114-1.jpg","https://images.brickset.com/sets/images/2114-1.jpg"
