"author","datePosted","title","review","HTML","overall","parts","buildingExperience","playability","valueForMoney"
"Luftlego","2007-12-13T10:54:14.78Z","One of my best Lego purchases ever!","I bought this set, along with the rest of the Indiana Jones collection (all Indy sets are available now at TRU - Richardson TX 12/11/07). I was amazed and excited to find all of them out on store shelves, especially before the end of the year. TRU has them all priced above msrp, but worth it since these sets are selling for crazy amounts of money on ebay.
Anyway, back to the review. This is a great set! Probably the best minifigs I have ever owned with lots of little details. 

Pro's: Awesome collection of new minifigs. Maybe even the best ever created by Lego.

Con's: The motorcycles are too modern for the early 1940's, and the gate is a little on the plain side.

Overall, this is a must buy for any Lego or Indy fan.",FALSE,5,0,0,0,0
"benners30","2007-12-15T10:35:42.343Z","the nazis take chase","this is an awesome set that i will definetly pick up. it is so cool. it has a nazi solider, indie, indies dad, a motercyle with a sidecar, a nazi moterbike and a hut with crates and accesories. the motercycles are very well designed with a cool color and the nazi one looks like a dirtbike which is cool. the figs are awesome with a nazi solider with a pistol, indie with a wip, a pistol and a bag, and indies dad with a map and cool hat. the hut and accesories are nothing special and the hut is kinda skimpy but oh well. great set",FALSE,5,0,0,0,0
"thepeopleperson","2007-12-27T15:38:02.45Z","A great set for the money!","I bought this at walmart in houston.  I was very surprised to find it there, along with all of the 2008 star wars and indy sets.  It was only $10, and it is very well worth it!

pros-
3 great minifigs
lots of new parts for 2008
low price
very playable
I like the new motorcycles

cons-
the liftgate is fragile

This set is awesome, a must for 2008!",FALSE,5,0,0,0,0
"Yeow","2008-01-07T00:30:04.17Z","Great Addition","I definetely enjoyed this set a lot. It's nice to see 2 wheeled motorcycles again, even if they do look a bit modern. Kudos to Lego for not making the sidecar one juniorized peace, definetely adds more value to the set. I'm also a sucker for guns, and this is a cheap way to get them, plus my set had an extra gun :D. Other than that, the Guard shack is pretty lame and useless to the set (better off as a gate in a Lego town) and the barricade doesn't sit parallel with the ground, it's slanted down. I am definetely digging these modern crates though.

All in all, this set is a perfect way to start off the new year.",FALSE,5,0,0,0,0
"Smallsam99","2007-12-24T19:04:43.107Z","Best motorcycles in a while!","This set is extremely great for the size. The gate however is flimsy as stated by many. The motor cycles are also a big plus dor this. They are the most detailed i've seen in while.

Pros:
dr. jones and nazi figures

motorcycles

realistic crates

cons:
flisy gate (i think it is designed that way)

could have used 1 more nazi( just me)

Overall it is great for the set's price and I recommend it to anyone who wants an entertaining set for a few bucks!",FALSE,5,0,0,0,0
"JC3275","2007-12-25T05:17:33.997Z","Fun new set","I got this for Christmas today from my other half.  The motorcycles are KEWL (tho I agree, too modern for the 40's, but the Indy flicks were full of allegories anyway).  The 3 figures (Henry Sr, Indy &amp; a generic &quot;nazi&quot;) are fun.  The minifigs are my favorite part of Lego, so three in a $10 set is a great feature.  Sidecar is fun.  Was glad to see its built and not a molded piece attached to the cycle. This is a great addition to my collection.  Most definitely will add the others in the series.",FALSE,5,0,0,0,0
"Jedd_the_Jedi","2008-01-12T03:36:29.34Z","Nifty-ness!","This is definitely one for any collection! Recreating a fun scene from my favourite of the Indy films in a small and value-for-money package, this set packs playability and looks great too. The minifigs included and faithful iterations of their on-screen counterparts, and Indy's new fedora, whip and pouch bag do not disappoint. The checkpoint gate and price-per-parts ration still can be improved a lot, though. Overall great stuff.",FALSE,5,0,0,0,0
"danim","2008-02-07T06:55:08.717Z","Great Set","This is a great set, Henry Jones and Indy are done very well as is the sidecar.
The crates are very well done as well as the bullwhip
The only problems of this set are the motorcycles are too modern, the barrier is not that strong and the map should not be in this set

If you can you should get this set",FALSE,4,0,0,0,0
"mrmitch","2008-01-26T22:37:28.39Z","Great set - 3 Mini figures - Good price","I got Indiana Jones Motorcycle Chase today and I am very impressed with this set. The best most realistic motorcycle LEGO has ever made!! You get two, one has a detachable side car with the set. Three mini figures for $9.99 set is awesome. Quick to put together and my 8 year old son has not put it down for 2 hours. You get the main characters and the whip and backpack, also older backpack for Iniana's dad, treasure map 3 pistols as well as a guard and guardshack. Good Set !!",FALSE,5,0,0,0,0
"smjo26","2008-02-05T18:47:26.31Z","Great Set to add to your collection","This was a fun and enjoyable set to put together! The Set comes with 2 new LEGO Motorcycles (their a little modern if you ask me)! But nonetheless Lego did a good job on this set. 

Pros: Minifigs: Indiana Jones, Professor Henry Jones, and finally Nazi soldier
         
          Motorcycles (even if they are a little bit modern)

          Gear

          Building/Outpost (nice touch)

          And finally the flagpole that indy defeats the soldier with

         
          Cons:  Non!
This is a great set for your Indiana Jones collection. I would highly recommend it.

         thanks for reading!

          
  
                                                        ",FALSE,5,0,0,0,0
"OrionPax9","2008-01-15T19:25:30.467Z","4/5","For $10 this isnt too bad of a set.  You get three great minifigs and the motorcycles are really cool but the building is lacking.

It would be nice if this set was a little cheaper and easier to find.  I had to order it through Lego to get hold of it.",FALSE,4,0,0,0,0
"legofan5445","2008-01-24T23:49:28.61Z","Great value for $ ! ","I just bought this set at about USD 14 (Lego in my country is more expensive, unfortunately) but at a promotional price! The usual price was about USD 21 which will make this set not value for $, but the promotional price is great!

But to the review, this set rocks at this price! You get 3 SUPER Rare Minifgs, (Indy, his dad and a nazi), Two biker goggles (1 is extra), one biker helmet (for the nazi, Indy needs no helmet), 3 pistols! (great for police officers too), 2 DT Bikes, a map, Indy's precious whip, a haversack, a guard post... 

In conclusion, a great set for all these items! as i am a City collecctor, the items in this set really can in-coporate into City sets! 

Go get yours now! Indy rocks! ",FALSE,5,0,0,0,0
"sudorum","2008-01-23T17:12:41.763Z","pretty good","This set has the rare figure of henry jones, indie's father. The motorcycle is accurate except that there is a tire on the back of the passenger seat of the cycle, not a whip. And they actually didn't have the map or the book with them, which was occupied by the nazis. And there were more nazis chasing them. THis set is a little unaccurate, but the goodness of it out ranks the unaccuracy ",FALSE,4,0,0,0,0
"Xwing250","2008-02-10T12:37:08.903Z","Great Set!","I only gave this set a 4 because the gateway could have been better, it could have been a bit bigger and the bar is quite flimsy. Another &quot;nazi&quot; would have been good, you could set him in the gateroom. 

Pros:

Indy!
Henry Jones!
Cool Motorbikes!(even if they are a bit modern)
Nazi!
Side Car!
Extra Pistol!

Cons:

Gate Way 
Another Nazi would be cool
Gate Bar",FALSE,4,0,0,0,0
"Lego_Fan","2008-04-29T18:01:24.607Z","Nice","I got this set with all of the other Indy sets. It is great! I love the Sean Connery figure.

Pros:
Nice motorcycle
Sidecar!
Nazi soldier, really good for an army
A little guard cabin

Cons: 
The tops of the *&amp;$%ing crates won't stay on!

Overall, a pretty good set.",FALSE,4,0,0,0,0
"Da_LegoBuilder","2008-03-19T19:09:08.967Z","What can i say, pretty good...","Love the pistols, and with a new shade-light black!

Um... this set is pretty cool, well, a gate, 2 motorcycles and 3 minifigs! pretty good and @ a very low price! 
Very accurate to the movie, just that the gate is so flimsy and not sturdy. Trashcans-don't see the point of, but good job lego, accurate to the movie. 

Oh, don't ike the helmet for the guard, not safe-safety comes first!",FALSE,5,0,0,0,0
"legofanatic","2008-02-17T03:39:09.797Z","Cool little set","This is a really cool set with 3 guys,2 motorcycles,a map,the boxes,the flag and the out post.There's only one problem ,where's the guy who was standing there in the Last Crusade ? Anyway I would recommend this to any LEGO fan.",FALSE,5,0,0,0,0
"Noah1997","2008-06-25T18:42:25.5Z","Vary fun!","this is a fun lego set me and my brother love it i like the Indiana Jones whip and the guns. the gate is this sets weakness after you play with the set a little the gate starts to fall down the map is vary cool to i like the set the whip and the bag are cool too this is the kind of set that you can make hundreds of fun adventures with this set 
i think it is awesome if you are picking out a small fun set choose this.",FALSE,4,0,0,0,0
