"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL"
249,"130",1,"Double Tipper Wagon",1972,"Trains","Modern day","4.5/12V","Normal",TRUE,20,"https://brickset.com/sets/130-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/130-1.jpg","https://images.brickset.com/sets/images/130-1.jpg"
7391,"131",1,"Passenger Coach",1972,"Trains","Modern day","4.5/12V","Normal",TRUE,67,"https://brickset.com/sets/131-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/131-1.jpg","https://images.brickset.com/sets/images/131-1.jpg"
7392,"132",2,"Port Crane and Flat Wagon",1972,"Trains","Modern day","4.5/12V","Normal",TRUE,60,"https://brickset.com/sets/132-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/132-2.jpg","https://images.brickset.com/sets/images/132-2.jpg"
7393,"161",1,"Battery Wagon",1972,"Trains","Modern day","4.5/12V","Normal",TRUE,8,"https://brickset.com/sets/161-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/161-1.jpg","https://images.brickset.com/sets/images/161-1.jpg"
7394,"170",1,"Push-along Play Train",1972,"Trains","Modern day","4.5/12V","Normal",TRUE,93,"https://brickset.com/sets/170-1",0,0,"Box","Retail","https://images.brickset.com/sets/small/170-1.jpg","https://images.brickset.com/sets/images/170-1.jpg"
525,"171",1,"Train Set without Motor",1972,"Trains","Modern day","4.5/12V","Normal",TRUE,147,"https://brickset.com/sets/171-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/171-1.jpg","https://images.brickset.com/sets/images/171-1.jpg"
7395,"180",1,"4.5V Train with 5 Wagons",1972,"Trains","Modern day","4.5/12V","Normal",TRUE,228,"https://brickset.com/sets/180-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/180-1.jpg","https://images.brickset.com/sets/images/180-1.jpg"
7396,"181",1,"Train Set with Motor, Signals and Shunting Switch",1972,"Trains","Modern day","4.5/12V","Normal",TRUE,148,"https://brickset.com/sets/181-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/181-1.jpg","https://images.brickset.com/sets/images/181-1.jpg"
7397,"220",7,"Let's Play with LEGO",1972,"Books","Miscellaneous","LEGO","Book",TRUE,NA,"https://brickset.com/sets/220-7",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/220-7.jpg","https://images.brickset.com/sets/images/220-7.jpg"
7398,"262",2,"Complete Children's Room Set",1972,"Homemaker","Vintage",NA,"Normal",TRUE,259,"https://brickset.com/sets/262-2",0,0,"Box","Retail","https://images.brickset.com/sets/small/262-2.jpg","https://images.brickset.com/sets/images/262-2.jpg"
