"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL","height","width","depth"
2,"10",2,"Basic Building Set, 3+",1976,"Basic","Basic",NA,"Normal",TRUE,152,NA,"https://brickset.com/sets/10-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/10-2.jpg","https://images.brickset.com/sets/images/10-2.jpg",NA,NA,NA
707,"20",1,"Basic Building Set, 3+",1976,"Basic","Basic",NA,"Normal",TRUE,217,NA,"https://brickset.com/sets/20-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/20-1.jpg","https://images.brickset.com/sets/images/20-1.jpg",NA,NA,NA
1233,"30",1,"Basic Building Set, 3+",1976,"Basic","Basic",NA,"Normal",TRUE,258,NA,"https://brickset.com/sets/30-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/30-1.jpg","https://images.brickset.com/sets/images/30-1.jpg",NA,NA,NA
1866,"40",1,"Basic Building Set, 3+",1976,"Basic","Basic",NA,"Normal",TRUE,258,NA,"https://brickset.com/sets/40-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/40-1.jpg","https://images.brickset.com/sets/images/40-1.jpg",NA,NA,NA
2391,"50",1,"Basic Building Set, 3+",1976,"Basic","Basic",NA,"Normal",TRUE,382,NA,"https://brickset.com/sets/50-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/50-1.jpg","https://images.brickset.com/sets/images/50-1.jpg",NA,NA,NA
27657,"55",1,"Basic Set",1976,"Samsonite","Vintage","Basic set","Normal",TRUE,291,NA,"https://brickset.com/sets/55-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/55-1.jpg","https://images.brickset.com/sets/images/55-1.jpg",NA,NA,NA
5260,"74",1,"PreSchool Set",1976,"PreSchool","Pre-school",NA,"Normal",TRUE,20,NA,"https://brickset.com/sets/74-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/74-1.jpg","https://images.brickset.com/sets/images/74-1.jpg",NA,NA,NA
7989,"080",3,"Police Station",1976,"PreSchool","Pre-school",NA,"Normal",TRUE,28,4,"https://brickset.com/sets/080-3",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/080-3.jpg","https://images.brickset.com/sets/images/080-3.jpg",NA,NA,NA
7990,"081",1,"Train Station",1976,"PreSchool","Pre-school",NA,"Normal",TRUE,53,5,"https://brickset.com/sets/081-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA
7991,"082",1,"LEGOVille",1976,"PreSchool","Pre-school",NA,"Normal",TRUE,66,7,"https://brickset.com/sets/082-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA
130,"107",1,"Universal Motor",1976,"Basic","Basic","Supplementaries","Normal",TRUE,137,NA,"https://brickset.com/sets/107-1",3.5,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/107-1.jpg","https://images.brickset.com/sets/images/107-1.jpg",NA,NA,NA
