"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL"
23464,"15",1,"Castle Minifigures",1984,"Castle","Historical","Classic","Normal",TRUE,10,6,"https://brickset.com/sets/15-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/15-1.jpg","https://images.brickset.com/sets/images/15-1.jpg"
123,"105",1,"Mail Van",1984,"Town","Modern day","Special","Normal",TRUE,65,1,"https://brickset.com/sets/105-1",0,1,"Box","Promotional",NA,"https://images.brickset.com/sets/small/105-1.jpg","https://images.brickset.com/sets/images/105-1.jpg"
27121,"226",4,"The Building Book",1984,"Books","Miscellaneous","LEGO","Book",TRUE,NA,NA,"https://brickset.com/sets/226-4",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/226-4.jpg","https://images.brickset.com/sets/images/226-4.jpg"
1327,"311",3,"Basic Building Set, 3+",1984,"Basic","Basic",NA,"Normal",TRUE,83,NA,"https://brickset.com/sets/311-3",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/311-3.jpg","https://images.brickset.com/sets/images/311-3.jpg"
2716,"533",1,"Basic Building Set, 5+",1984,"Basic","Basic",NA,"Normal",TRUE,89,NA,"https://brickset.com/sets/533-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/533-1.jpg","https://images.brickset.com/sets/images/533-1.jpg"
8417,"759",1,"Storage Cabinet",1984,"Gear","Miscellaneous","Storage","Gear",TRUE,NA,NA,"https://brickset.com/sets/759-1",0,2,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/759-1.jpg","https://images.brickset.com/sets/images/759-1.jpg"
10172,"760",1,"Storage Cabinet",1984,"Gear","Miscellaneous","Storage","Gear",TRUE,NA,NA,"https://brickset.com/sets/760-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
10090,"801",4,"Fabuland Characters",1984,"Fabuland","Junior",NA,"Normal",TRUE,NA,2,"https://brickset.com/sets/801-4",0,0,"Other","Retail - limited",NA,"https://images.brickset.com/sets/small/801-4.jpg","https://images.brickset.com/sets/images/801-4.jpg"
7814,"1012",1,"Mosaic Set",1984,"Dacta","Educational",NA,"Normal",TRUE,NA,NA,"https://brickset.com/sets/1012-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1012-1.jpg","https://images.brickset.com/sets/images/1012-1.jpg"
5048,"1032",1,"Technic II Powered Machines Set",1984,"Dacta","Educational","Technic","Normal",TRUE,278,NA,"https://brickset.com/sets/1032-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1032-1.jpg","https://images.brickset.com/sets/images/1032-1.jpg"
