"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","height","width","depth"
5024,"0011",3,"2 For 1 Bonus Offer",1987,"Castle","Historical","Bonus/Value Pack","Collection",TRUE,151,NA,"https://brickset.com/sets/0011-3",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/0011-3.jpg","https://images.brickset.com/sets/images/0011-3.jpg",NA,NA,NA
924,"250",1,"Building Ideas Book",1987,"Books","Miscellaneous","LEGO","Book",TRUE,1,NA,"https://brickset.com/sets/250-1",3.9,3,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/250-1.jpg","https://images.brickset.com/sets/images/250-1.jpg",NA,NA,NA
1259,"303",1,"Basic Building Set, 3+",1987,"Basic","Basic",NA,"Normal",TRUE,33,NA,"https://brickset.com/sets/303-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
1289,"307",1,"Basic Building Set, 3+",1987,"Basic","Basic",NA,"Normal",TRUE,33,NA,"https://brickset.com/sets/307-1",0,0,"{Not specified}","{Not specified}",3,NA,NA,NA,NA,NA
22423,"317",2,"Basic Building Set",1987,"Basic","Basic",NA,"Normal",TRUE,68,NA,"https://brickset.com/sets/317-2",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/317-2.jpg","https://images.brickset.com/sets/images/317-2.jpg",NA,NA,NA
22426,"327",1,"Basic Building Set",1987,"Basic","Basic",NA,"Normal",TRUE,99,1,"https://brickset.com/sets/327-1",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/327-1.jpg","https://images.brickset.com/sets/images/327-1.jpg",NA,NA,NA
22425,"337",1,"Basic Building Set",1987,"Basic","Basic",NA,"Normal",TRUE,212,2,"https://brickset.com/sets/337-1",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/337-1.jpg","https://images.brickset.com/sets/images/337-1.jpg",NA,NA,NA
10101,"347",2,"Basic Building Set",1987,"Basic","Basic",NA,"Normal",TRUE,328,2,"https://brickset.com/sets/347-2",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/347-2.jpg","https://images.brickset.com/sets/images/347-2.jpg",NA,NA,NA
30652,"356",2,"Basic Building Set with Storage Case",1987,"Basic","Basic",NA,"Normal",TRUE,NA,NA,"https://brickset.com/sets/356-2",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
22424,"357",2,"Basic Building Set",1987,"Basic","Basic",NA,"Normal",TRUE,451,NA,"https://brickset.com/sets/357-2",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA
2419,"503",1,"Basic Building Set, 5+",1987,"Basic","Basic",NA,"Normal",TRUE,35,NA,"https://brickset.com/sets/503-1",0,0,"{Not specified}","{Not specified}",5,"https://images.brickset.com/sets/small/503-1.jpg","https://images.brickset.com/sets/images/503-1.jpg",NA,NA,NA
2461,"507",1,"Basic Building Set, 5+",1987,"Basic","Basic",NA,"Normal",TRUE,56,NA,"https://brickset.com/sets/507-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/507-1.jpg","https://images.brickset.com/sets/images/507-1.jpg",NA,NA,NA
8697,"517",2,"Basic Building Set 5+",1987,"Basic","Basic",NA,"Normal",TRUE,115,NA,"https://brickset.com/sets/517-2",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/517-2.jpg","https://images.brickset.com/sets/images/517-2.jpg",NA,NA,NA
23500,"527",1,"Basic Building Set",1987,"Basic","Basic",NA,"Normal",TRUE,192,1,"https://brickset.com/sets/527-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/527-1.jpg","https://images.brickset.com/sets/images/527-1.jpg",NA,NA,NA
8736,"537",1,"Basic Building Set, 5+",1987,"Basic","Basic",NA,"Normal",TRUE,259,2,"https://brickset.com/sets/537-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/537-1.jpg","https://images.brickset.com/sets/images/537-1.jpg",NA,NA,NA
2792,"547",1,"Basic Building Set, 5+",1987,"Basic","Basic",NA,"Normal",TRUE,563,2,"https://brickset.com/sets/547-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/547-1.jpg","https://images.brickset.com/sets/images/547-1.jpg",NA,NA,NA
2812,"557",1,"Basic Building Set, 5+",1987,"Basic","Basic",NA,"Normal",TRUE,711,2,"https://brickset.com/sets/557-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/557-1.jpg","https://images.brickset.com/sets/images/557-1.jpg",NA,NA,NA
3063,"610",2,"Rescue Helicopter",1987,"Town","Modern day","Special","Normal",TRUE,39,NA,"https://brickset.com/sets/610-2",0,0,"Box","Promotional",NA,"https://images.brickset.com/sets/small/610-2.jpg","https://images.brickset.com/sets/images/610-2.jpg",NA,NA,NA
4054,"789",1,"Storage Cloth",1987,"Basic","Basic","Supplementaries","Normal",TRUE,1,NA,"https://brickset.com/sets/789-1",0,2,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/789-1.jpg","https://images.brickset.com/sets/images/789-1.jpg",NA,NA,NA
22620,"952",2,"TC logo - Activity Book Box Set",1987,"Dacta","Educational",NA,"Normal",TRUE,NA,NA,"https://brickset.com/sets/952-2",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/952-2.jpg","https://images.brickset.com/sets/images/952-2.jpg",NA,NA,NA
7862,"1078",1,"Animal Mosaic Puzzle",1987,"Dacta","Educational",NA,"Normal",TRUE,80,NA,"https://brickset.com/sets/1078-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1078-1.jpg","https://images.brickset.com/sets/images/1078-1.jpg",NA,NA,NA
7863,"1079",1,"Animal Mosaic Puzzle",1987,"Dacta","Educational",NA,"Normal",TRUE,80,NA,"https://brickset.com/sets/1079-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1079-1.jpg","https://images.brickset.com/sets/images/1079-1.jpg",NA,NA,NA
