"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable"
4133,"819",1,"Blue baseplate",1991,"Basic","Basic","Supplementaries","Normal",TRUE,1,NA,"https://brickset.com/sets/819-1",0,0,"Shrink-wrapped","Retail","https://images.brickset.com/sets/small/819-1.jpg","https://images.brickset.com/sets/images/819-1.jpg",NA,NA,NA,NA,NA,NA
7834,"1040",1,"Farm",1991,"Dacta","Educational",NA,"Normal",TRUE,89,4,"https://brickset.com/sets/1040-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
9412,"1474",1,"Basic Building Set with Gift Item",1991,"Basic","Basic","Universal Building Set","Normal",TRUE,69,1,"https://brickset.com/sets/1474-1",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,NA
343,"1475",1,"Airport Security Squad",1991,"Town","Modern day","Flight","Normal",TRUE,122,2,"https://brickset.com/sets/1475-1",0,2,"Box","Retail - limited","https://images.brickset.com/sets/small/1475-1.jpg","https://images.brickset.com/sets/images/1475-1.jpg",NA,NA,NA,NA,NA,NA
344,"1476",1,"Five Set Bonus Pack",1991,"Assorted","Miscellaneous","Bonus/Value Pack","Collection",TRUE,158,NA,"https://brickset.com/sets/1476-1",0,2,"Box with backing card","Retail - limited","https://images.brickset.com/sets/small/1476-1.jpg","https://images.brickset.com/sets/images/1476-1.jpg",NA,NA,NA,NA,NA,NA
349,"1477",1,"Red Race Car Number 3",1991,"Town","Modern day","Racing","Normal",TRUE,39,1,"https://brickset.com/sets/1477-1",3.2,6,"Box","Retail - limited","https://images.brickset.com/sets/small/1477-1.jpg","https://images.brickset.com/sets/images/1477-1.jpg",NA,NA,NA,NA,NA,NA
350,"1478",1,"Mobile Satellite Up-Link",1991,"Space","Action/Adventure","M-Tron","Normal",TRUE,31,1,"https://brickset.com/sets/1478-1",3.4,5,"Box","Retail - limited","https://images.brickset.com/sets/small/1478-1.jpg","https://images.brickset.com/sets/images/1478-1.jpg",NA,NA,NA,NA,NA,NA
351,"1479",1,"Two-Pilot Craft",1991,"Space","Action/Adventure","Blacktron 2","Normal",TRUE,34,2,"https://brickset.com/sets/1479-1",3.4,6,"Box","Retail - limited","https://images.brickset.com/sets/small/1479-1.jpg","https://images.brickset.com/sets/images/1479-1.jpg",NA,NA,NA,NA,NA,NA
353,"1480",1,"King's Catapult",1991,"Castle","Historical","Lion Knights","Normal",TRUE,33,1,"https://brickset.com/sets/1480-1",3.3,5,"Box","Retail - limited","https://images.brickset.com/sets/small/1480-1.jpg","https://images.brickset.com/sets/images/1480-1.jpg",NA,NA,NA,NA,NA,NA
354,"1481",1,"Pirates Desert Island",1991,"Pirates","Historical",NA,"Normal",TRUE,21,1,"https://brickset.com/sets/1481-1",3.4,4,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1481-1.jpg","https://images.brickset.com/sets/images/1481-1.jpg",NA,NA,NA,NA,NA,NA
10113,"1483",1,"Sailor and Parrot",1991,"Duplo","Pre-school",NA,"Normal",TRUE,19,NA,"https://brickset.com/sets/1483-1",0,0,"Box","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
404,"1548",1,"Stena Line Ferry",1991,"Promotional","Miscellaneous","Ferries","Normal",TRUE,172,NA,"https://brickset.com/sets/1548-1",0,0,"Box","Promotional","https://images.brickset.com/sets/small/1548-1.jpg","https://images.brickset.com/sets/images/1548-1.jpg",NA,NA,NA,NA,NA,NA
5198,"1581",2,"Arla Milk Delivery Truck",1991,"Town","Modern day","Special","Normal",TRUE,116,1,"https://brickset.com/sets/1581-2",0,3,"Box","Promotional","https://images.brickset.com/sets/small/1581-2.jpg","https://images.brickset.com/sets/images/1581-2.jpg",NA,NA,NA,NA,NA,NA
438,"1591",2,"Duplo Bucket",1991,"Duplo","Pre-school",NA,"Normal",TRUE,32,2,"https://brickset.com/sets/1591-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1591-2.jpg","https://images.brickset.com/sets/images/1591-2.jpg",NA,NA,NA,NA,NA,NA
449,"1610",1,"Police Car",1991,"Town","Modern day","Police","Normal",TRUE,23,NA,"https://brickset.com/sets/1610-1",2.8,7,"Box","Retail - limited","https://images.brickset.com/sets/small/1610-1.jpg","https://images.brickset.com/sets/images/1610-1.jpg",NA,NA,NA,NA,NA,NA
450,"1611",1,"Red Race Car",1991,"Town","Modern day","Racing","Normal",TRUE,21,NA,"https://brickset.com/sets/1611-1",0,3,"Box","Retail - limited","https://images.brickset.com/sets/small/1611-1.jpg","https://images.brickset.com/sets/images/1611-1.jpg",NA,NA,NA,NA,NA,NA
10114,"1635",1,"Fire Dispatch",1991,"Duplo","Pre-school",NA,"Normal",TRUE,18,2,"https://brickset.com/sets/1635-1",0,0,"Box","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
490,"1656",1,"Evacuation Team",1991,"Town","Modern day","Fire","Normal",TRUE,236,2,"https://brickset.com/sets/1656-1",4,0,"Box","Retail - limited","https://images.brickset.com/sets/small/1656-1.jpg","https://images.brickset.com/sets/images/1656-1.jpg",NA,NA,NA,NA,NA,NA
495,"1666",1,"Brick Vac",1991,"Basic","Basic",NA,"Normal",TRUE,132,1,"https://brickset.com/sets/1666-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1666-1.jpg","https://images.brickset.com/sets/images/1666-1.jpg",NA,NA,NA,NA,NA,NA
503,"1678",1,"Building Set 5+, Special Offer",1991,"Basic","Basic",NA,"Normal",TRUE,44,NA,"https://brickset.com/sets/1678-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1678-1.jpg","https://images.brickset.com/sets/images/1678-1.jpg",NA,NA,NA,NA,NA,NA
514,"1698",1,"Basic Building Set 3+, Special Offer",1991,"Basic","Basic",NA,"Normal",TRUE,24,NA,"https://brickset.com/sets/1698-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1698-1.jpg","https://images.brickset.com/sets/images/1698-1.jpg",NA,NA,NA,NA,NA,NA
10115,"1878",1,"Small Bucket",1991,"Basic","Basic",NA,"Normal",TRUE,393,1,"https://brickset.com/sets/1878-1",0,0,"Bucket","Retail","https://images.brickset.com/sets/small/1878-1.jpg","https://images.brickset.com/sets/images/1878-1.jpg",NA,NA,NA,NA,NA,NA
