"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","weight"
1547,"345",2,"Create a Home Bucket",1993,"Basic","Basic",NA,"Normal",TRUE,127,NA,"https://brickset.com/sets/345-2",0,1,"{Not specified}","{Not specified}",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26632,"365",3,"Build-n-Store Chest",1993,"Basic","Basic",NA,"Normal",TRUE,333,NA,"https://brickset.com/sets/365-3",0,0,"Plastic box","{Not specified}",NA,"https://images.brickset.com/sets/small/365-3.jpg","https://images.brickset.com/sets/images/365-3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6318,"1504",1,"Family Bucket, 3+",1993,"Basic","Basic",NA,"Normal",TRUE,229,NA,"https://brickset.com/sets/1504-1",0,0,"Bucket","Retail",NA,"https://images.brickset.com/sets/small/1504-1.jpg","https://images.brickset.com/sets/images/1504-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22488,"1540",1,"Betsy's Bedroom",1993,"Duplo","Pre-school",NA,"Normal",TRUE,39,1,"https://brickset.com/sets/1540-1",0,0,"Other","Retail - limited",NA,"https://images.brickset.com/sets/small/1540-1.jpg","https://images.brickset.com/sets/images/1540-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,"1547",1,"Black Knights Boat",1993,"Castle","Historical","Black Knights","Normal",TRUE,58,2,"https://brickset.com/sets/1547-1",3.5,4,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1547-1.jpg","https://images.brickset.com/sets/images/1547-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,"1579",1,"Animal Fun",1993,"Duplo","Pre-school",NA,"Normal",TRUE,30,NA,"https://brickset.com/sets/1579-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1579-1.jpg","https://images.brickset.com/sets/images/1579-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22489,"1595",1,"Girl with Cat",1993,"Duplo","Pre-school",NA,"Normal",TRUE,17,NA,"https://brickset.com/sets/1595-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,"1596",1,"Ghostly Hideout",1993,"Castle","Historical","Wolfpack","Normal",TRUE,37,2,"https://brickset.com/sets/1596-1",4.1,8,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1596-1.jpg","https://images.brickset.com/sets/images/1596-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,"1597",1,"Castle Value Pack",1993,"Castle","Historical","Bonus/Value Pack","Collection",TRUE,117,NA,"https://brickset.com/sets/1597-1",0,2,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1597-1.jpg","https://images.brickset.com/sets/images/1597-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
453,"1614",1,"Build-A-Farm",1993,"Duplo","Pre-school",NA,"Normal",TRUE,23,2,"https://brickset.com/sets/1614-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460,"1624",1,"King's Archer",1993,"Castle","Historical","Black Knights","Normal",TRUE,22,1,"https://brickset.com/sets/1624-1",3.2,5,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1624-1.jpg","https://images.brickset.com/sets/images/1624-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7238,"1651",1,"Basic Building Set Trial Size",1993,"Basic","Basic",NA,"Normal",TRUE,30,NA,"https://brickset.com/sets/1651-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1651-1.jpg","https://images.brickset.com/sets/images/1651-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,"1652",1,"Mini Box, 5+",1993,"Basic","Basic",NA,"Normal",TRUE,39,NA,"https://brickset.com/sets/1652-1",0,1,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1652-1.jpg","https://images.brickset.com/sets/images/1652-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
507,"1687",1,"Midnight Transport",1993,"Town","Modern day","Flight","Normal",TRUE,262,3,"https://brickset.com/sets/1687-1",3.8,1,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1687-1.jpg","https://images.brickset.com/sets/images/1687-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
508,"1688",1,"Large Play Bucket, 3+",1993,"Basic","Basic",NA,"Normal",TRUE,216,NA,"https://brickset.com/sets/1688-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1688-1.jpg","https://images.brickset.com/sets/images/1688-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22490,"1699",1,"Small Bucket, 3+",1993,"Basic","Basic",NA,"Normal",TRUE,179,NA,"https://brickset.com/sets/1699-1",0,0,"Bucket","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5367,"1707",1,"20th Anniversary Jackpot Bucket",1993,"Basic","Basic",NA,"Normal",TRUE,400,NA,"https://brickset.com/sets/1707-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1707-1.jpg","https://images.brickset.com/sets/images/1707-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22491,"1735",1,"20th Anniversary Jackpot Bucket",1993,"Duplo","Pre-school",NA,"Normal",TRUE,50,2,"https://brickset.com/sets/1735-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22492,"1816",1,"20th Anniversary Jackpot Bucket",1993,"Duplo","Pre-school",NA,"Normal",TRUE,90,3,"https://brickset.com/sets/1816-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22493,"1830",1,"Large Bucket",1993,"Duplo","Pre-school",NA,"Normal",TRUE,NA,NA,"https://brickset.com/sets/1830-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9214,"1845",1,"20th Anniversary Jackpot Bucket",1993,"Basic","Basic",NA,"Normal",TRUE,714,2,"https://brickset.com/sets/1845-1",0,0,"Bucket","Retail - limited",NA,"https://images.brickset.com/sets/small/1845-1.jpg","https://images.brickset.com/sets/images/1845-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
635,"1874",1,"Super Scoop",1993,"Basic","Basic",NA,"Normal",TRUE,140,NA,"https://brickset.com/sets/1874-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1874-1.jpg","https://images.brickset.com/sets/images/1874-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22494,"1903",1,"Medium Bucket",1993,"Duplo","Pre-school",NA,"Normal",TRUE,NA,NA,"https://brickset.com/sets/1903-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22495,"1908",1,"Small Bucket",1993,"Duplo","Pre-school",NA,"Normal",TRUE,39,2,"https://brickset.com/sets/1908-1",0,0,"Bucket","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
661,"1916",1,"Starion Patrol",1993,"Space","Action/Adventure","Space Police 2","Normal",TRUE,23,1,"https://brickset.com/sets/1916-1",3.8,5,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1916-1.jpg","https://images.brickset.com/sets/images/1916-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662,"1917",1,"King's Catapult",1993,"Castle","Historical","Black Knights","Normal",TRUE,22,1,"https://brickset.com/sets/1917-1",3,5,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1917-1.jpg","https://images.brickset.com/sets/images/1917-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22496,"1932",2,"Medium Bucket",1993,"Duplo","Pre-school",NA,"Normal",TRUE,76,NA,"https://brickset.com/sets/1932-2",0,0,"Bucket","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
671,"1955",1,"Color Line Ferry",1993,"Promotional","Miscellaneous","Ferries","Normal",TRUE,241,NA,"https://brickset.com/sets/1955-1",0,1,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1955-1.jpg","https://images.brickset.com/sets/images/1955-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
