"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","height","width","depth","weight"
278,"1386",1,"Jewelry Sample",2004,"Clikits","Girls",NA,"Normal",TRUE,16,NA,"https://brickset.com/sets/1386-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1386-1.jpg","https://images.brickset.com/sets/images/1386-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1343,"3125",1,"Preschool Playtable",2004,"Explore","Pre-school","Imagination","Normal",TRUE,18,NA,"https://brickset.com/sets/3125-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3125-1.jpg","https://images.brickset.com/sets/images/3125-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,66,23,4.02
1379,"3194",1,"Heart",2004,"Clikits","Girls",NA,"Normal",TRUE,9,NA,"https://brickset.com/sets/3194-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3194-1.jpg","https://images.brickset.com/sets/images/3194-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380,"3195",1,"Daisy",2004,"Clikits","Girls",NA,"Normal",TRUE,9,NA,"https://brickset.com/sets/3195-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3195-1.jpg","https://images.brickset.com/sets/images/3195-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4624,"3196",1,"Star",2004,"Clikits","Girls",NA,"Normal",TRUE,9,NA,"https://brickset.com/sets/3196-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3196-1.jpg","https://images.brickset.com/sets/images/3196-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1415,"3259",1,"Shooter + Disk",2004,"Bionicle","Constraction","Accessories","Normal",TRUE,2,NA,"https://brickset.com/sets/3259-1",0,3,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3259-1.jpg","https://images.brickset.com/sets/images/3259-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1654,"3578",1,"NHL Championship Challenge",2004,"Sports","Modern day","Hockey","Normal",TRUE,374,8,"https://brickset.com/sets/3578-1",0,4,"Box","Retail",NA,"https://images.brickset.com/sets/small/3578-1.jpg","https://images.brickset.com/sets/images/3578-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,48,7.2,0.92
1655,"3579",1,"NHL Street Hockey",2004,"Sports","Modern day","Hockey","Normal",TRUE,114,2,"https://brickset.com/sets/3579-1",0,5,"Box","Retail",NA,"https://images.brickset.com/sets/small/3579-1.jpg","https://images.brickset.com/sets/images/3579-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,28.8,6,0.36
6564,"4033",1,"Car",2004,"Creator","Model making","Designer Set","Normal",FALSE,NA,NA,"https://brickset.com/sets/4033-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6565,"4034",1,"Aeroplane",2004,"Creator","Model making","Designer Set","Normal",FALSE,NA,NA,"https://brickset.com/sets/4034-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6566,"4035",1,"Boat",2004,"Creator","Model making","Designer Set","Normal",FALSE,NA,NA,"https://brickset.com/sets/4035-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
