"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","DE_retailPrice","DE_dateFirstAvailable","DE_dateLastAvailable","height","width","depth","weight"
48568,"10326",1,"Natural History Museum",2024,"Icons","Model making","Modular Buildings Collection","Normal",TRUE,4014,9,"https://brickset.com/sets/10326-1",4.2,1,"Box","LEGO exclusive",18,"https://images.brickset.com/sets/small/10326-1.jpg","https://images.brickset.com/sets/images/10326-1.jpg",299.99,"2023-10-31T00:00:00Z",NA,259.99,"2023-10-31T00:00:00Z",NA,389.99,"2023-10-31T00:00:00Z",NA,299.99,"2023-10-31T00:00:00Z",NA,47.5,51.8,17.6,5.142
48466,"10327",1,"Dune Atreides Royal Ornithopter",2024,"Icons","Model making","Licensed","Normal",TRUE,1369,8,"https://brickset.com/sets/10327-1",4.6,4,"Box","Retail",18,"https://images.brickset.com/sets/small/10327-1.jpg","https://images.brickset.com/sets/images/10327-1.jpg",164.99,"2023-10-25T00:00:00Z",NA,149.99,"2023-10-25T00:00:00Z",NA,214.99,"2023-10-25T00:00:00Z",NA,164.99,"2023-10-25T00:00:00Z",NA,28.2,45.6,11.8,NA
48467,"10328",1,"Bouquet of Roses",2024,"Icons","Model making","Botanical Collection","Normal",TRUE,822,NA,"https://brickset.com/sets/10328-1",4.2,1,"Box","Retail",18,"https://images.brickset.com/sets/small/10328-1.jpg","https://images.brickset.com/sets/images/10328-1.jpg",59.99,"2023-12-05T00:00:00Z",NA,54.99,"2023-12-05T00:00:00Z",NA,79.99,"2023-12-05T00:00:00Z",NA,59.99,"2023-12-05T00:00:00Z",NA,38.2,26.2,7.1,0.703
48611,"10329",1,"Tiny Plants",2024,"Icons","Model making","Botanical Collection","Normal",TRUE,758,NA,"https://brickset.com/sets/10329-1",4.4,1,"Box","Retail",18,"https://images.brickset.com/sets/small/10329-1.jpg","https://images.brickset.com/sets/images/10329-1.jpg",49.99,"2023-10-28T00:00:00Z",NA,44.99,"2023-10-28T00:00:00Z",NA,69.99,"2023-10-28T00:00:00Z",NA,49.99,"2023-10-28T00:00:00Z",NA,26,38,5.6,0.716
48468,"10330",1,"McLaren MP4/4 & Ayrton Senna",2024,"Icons","Model making","Vehicles","Normal",TRUE,693,1,"https://brickset.com/sets/10330-1",4.3,0,"Box","Retail",18,"https://images.brickset.com/sets/small/10330-1.jpg","https://images.brickset.com/sets/images/10330-1.jpg",79.99,"2024-02-02T00:00:00Z",NA,69.99,"2024-02-02T00:00:00Z",NA,99.99,"2024-02-02T00:00:00Z",NA,79.99,"2024-02-02T00:00:00Z",NA,26.2,38.2,7.1,NA
48469,"10331",1,"Kingfisher",2024,"Icons","Model making","Miscellaneous","Normal",TRUE,834,NA,"https://brickset.com/sets/10331-1",4.2,0,"Box","Retail",18,"https://images.brickset.com/sets/small/10331-1.jpg","https://images.brickset.com/sets/images/10331-1.jpg",49.99,"2024-01-10T00:00:00Z",NA,44.99,"2024-01-10T00:00:00Z",NA,69.99,"2024-01-10T00:00:00Z",NA,49.99,"2024-01-10T00:00:00Z",NA,26.2,38.2,5.7,NA
48567,"10332",1,"Medieval Town Square",2024,"Icons","Model making","Castle System","Normal",TRUE,3304,8,"https://brickset.com/sets/10332-1",4.4,0,"Box","LEGO exclusive",18,"https://images.brickset.com/sets/small/10332-1.jpg","https://images.brickset.com/sets/images/10332-1.jpg",229.99,"2024-02-09T00:00:00Z",NA,199.99,"2024-02-09T00:00:00Z",NA,299.99,"2024-02-09T00:00:00Z",NA,229.99,"2024-02-09T00:00:00Z",NA,37.8,55.5,13.2,3.535
48572,"10333",1,"The Lord of the Rings: Barad-dûr",2024,"Icons","Model making","Licensed","Normal",TRUE,5471,11,"https://brickset.com/sets/10333-1",4.6,3,"Box","LEGO exclusive",18,"https://images.brickset.com/sets/small/10333-1.jpg","https://images.brickset.com/sets/images/10333-1.jpg",459.99,"2024-05-15T00:00:00Z",NA,399.99,"2024-05-15T00:00:00Z",NA,599.99,"2024-05-15T00:00:00Z",NA,459.99,"2024-05-15T00:00:00Z",NA,52.3,37.8,25.7,NA
48946,"10334",1,"Retro Radio",2024,"Icons","Model making","Miscellaneous","Normal",TRUE,906,NA,"https://brickset.com/sets/10334-1",4.6,0,"Box","LEGO exclusive",18,"https://images.brickset.com/sets/small/10334-1.jpg","https://images.brickset.com/sets/images/10334-1.jpg",99.99,"2024-05-10T00:00:00Z",NA,89.99,"2024-05-10T00:00:00Z",NA,129.99,"2024-05-10T00:00:00Z",NA,99.99,"2024-05-10T00:00:00Z",NA,26.2,38.2,9.4,NA
48947,"10335",1,"The Endurance",2024,"Icons","Model making","Miscellaneous","Normal",TRUE,3011,NA,"https://brickset.com/sets/10335-1",4.6,0,"Box","LEGO exclusive",18,"https://images.brickset.com/sets/small/10335-1.jpg","https://images.brickset.com/sets/images/10335-1.jpg",269.99,"2024-11-08T00:00:00Z",NA,229.99,"2024-11-08T00:00:00Z",NA,349.99,"2024-11-08T00:00:00Z",NA,269.99,"2024-11-08T00:00:00Z",NA,NA,NA,NA,NA
